,Name,Prefecture,Ward,Address,Longtitude,Latitude,Junyu_num,Omutsu_num
0,東京国立博物館入口,東京都,台東区,東京都台東区上野公園１３,35.7175214738359,139.776008427143,2,1
1,ミニストップ浅草橋１丁目店,東京都,台東区,東京都台東区浅草橋１丁目２７−５ 浅草橋大興ビル,35.69827586029632,139.7848207069511,0,0
2,都営浅草線トイレ,東京都,台東区,東京都台東区柳橋１丁目２３,35.6982010366181,139.78695653379,0,1
3,すしざんまい上野店,東京都,台東区,東京都台東区上野２丁目７−１2,35.7092163859156,139.773127399385,0,1
4,国立科学博物館(日本館B1),東京都,台東区,東京都台東区上野公園７,35.71635258531849,139.7765700146556,1,2
5,子ども動物園すてっぷ　すてっぷ館　,東京都,台東区,東京都台東区上野公園9-83,35.71373218746415,139.77164044976234,2,2
6,台東保健所,東京都,台東区,東京都台東区東上野４丁目２２−８,35.7145287147716,139.781580045819,1,1
7,台東児童館,東京都,台東区,東京都台東区台東１丁目１１−5,35.70128697010522,139.77635434977762,1,1
8,公衆多目的トイレ,東京都,台東区,東京都台東区上野公園８−２２,35.7161429784383,139.773826450109,0,1
9,2k540,東京都,台東区,東京都台東区上野５丁目９−９,35.703890362298615,139.77410472929478,0,1
10,ＵＥＮＯ３１５３,東京都,台東区,東京都台東区上野公園１−５７ ＵＥＮＯ３１５３,35.71171442784562,139.7743535041809,0,1
11,オレンジ図書館,東京都,台東区,東京都台東区蔵前４丁目１４−６,35.7037907154663,139.789659865201,0,1
12,カフェ・バイ・プレゴ,東京都,台東区,東京都台東区台東２丁目７ ミツワビル,35.702848,139.77708899999993,0,1
13,シモジマ浅草橋本店,東京都,台東区,東京都台東区浅草橋１丁目1−30−10,35.6981068282491,139.786537773907,0,1
14,なかむら歯科医院,東京都,台東区,東京都台東区東上野４丁目６ 東上野４丁目６−７ シティコープ上野広徳1階,35.7128409167809,139.7806828469038,0,0
