,Name,Prefecture,Ward,Address,Longtitude,Latitude,Junyu_num,Omutsu_num
0,東武ストア西国分寺マイン,東京都,国分寺市,東京都国分寺市泉町３丁目３５−１,35.6943386745144,139.465424381196,0,2
1,ＪＡ東京むさし国分寺支店,東京都,国分寺市,東京都国分寺市東恋ヶ窪４丁目２３−８,35.71215952627056,139.46785479784012,1,1
2,ザ・ダイソー東京国分寺北町店,東京都,国分寺市,東京都国分寺市北町１丁目２−６,35.71709763803862,139.45963013917208,0,1
3,国分寺市立いずみホール,東京都,国分寺市,東京都国分寺市泉町３丁目３６−１２,35.698871927680685,139.46494694799185,1,0
4,東京都立多摩図書館,東京都,国分寺市,東京都国分寺市泉町２丁目２−26,35.6978244747538,139.469833932817,1,3
5,モスバーガー・国分寺南口店,東京都,国分寺市,東京都国分寺市南町３丁目１６−７ ダイワビル,35.6990894,139.48026290000007,0,0
6,カフェスロー,東京都,国分寺市,東京都国分寺市東元町２丁目２０ 東元町２丁目２０,35.6966144548171,139.481462985277,0,1
7,東武ストアにしこくマイン,東京都,国分寺市,東京都国分寺市泉町３丁目３−３５−１,35.6993249937766,139.46516353637,0,1
8,BOUKENたまご,東京都,国分寺市,東京都国分寺市南町３丁目１１−１６,35.698214650535,139.480695538223,0,0
9,国分寺マルイ,東京都,国分寺市,東京都国分寺市南町３丁目２０−３,35.6998137250503,139.480185247958,2,1
