,Name,Prefecture,Ward,Address,Longtitude,Latitude,Junyu_num,Omutsu_num
0,kotocafe,東京都,府中市,東京都府中市 宮町1-36-4-201,35.6703834966128,139.483189992607,1,1
1,榊原記念病院,東京都,府中市,東京都府中市朝日町３丁目１６−１,35.66623350892201,139.52022459357977,1,1
2,フレスポ府中,東京都,府中市,東京都府中市西原町１丁目６ 東京都府中市西原町１丁目６－２,35.682337610838324,139.46037780493498,1,0
3,ル・シーニュ,東京都,府中市,東京都府中市宮町１丁目１００,35.67177885290642,139.47967328131196,1,1
4,府中市郷土の森博物館,東京都,府中市,東京都府中市南町６丁目３２,35.65664244230618,139.47326984256506,1,0
5,府中駅,東京都,府中市,東京都府中市府中町１丁目１６−７ エル・ステージ府中 601,35.6721770547377,139.480067901313,0,1
6,東京都立多摩総合医療センター,東京都,府中市,東京都府中市武蔵台２丁目８ 武蔵台２丁目８−２９,35.69196343995526,139.46159183979032,1,0
7,府中市生涯学習センター,東京都,府中市,東京都府中市浅間町１丁目７,35.678801839414575,139.4964364171028,1,0
8,ファッションセンターしまむら栄町店,東京都,府中市,東京都府中市栄町１丁目２０−３３,35.6898261312938,139.480426982045,0,1
9,武蔵野公園サービスセンター,東京都,府中市,東京都府中市多磨町２丁目２４−１,35.68765472607291,139.5207905396819,1,1
10,コープみらい寿町店,東京都,府中市,東京都府中市寿町２丁目４,35.673632027028,139.475456848741,1,1
