,Name,Prefecture,Ward,Address,Longtitude,Latitude,Junyu_num,Omutsu_num
0,後楽園ホール,東京都,文京区,東京都文京区後楽１丁目３,35.7038560576655,139.752681255341,2,2
1,子育て広場江戸川橋,東京都,文京区,東京都文京区小日向２丁目１６−１５,35.7106015347902,139.734646752477,3,4
2,本駒込駅,東京都,文京区,東京都文京区本駒込３丁目１,35.7250398971486,139.753653891385,0,1
3,チエデンタルクリニック,東京都,文京区,東京都文京区小石川５丁目４−2 ,35.7170380231888,139.738277122378,1,1
4,文京グリーンコートイーストウィング,東京都,文京区,東京都文京区本駒込２丁目２８−１０,35.7302700648779,139.747987724841,0,1
5,文京区立本郷図書館,東京都,文京区,東京都文京区千駄木３丁目２−６ 区立本郷図書館,35.7255910732891,139.761505052447,0,1
6,茗荷谷駅MFビル,東京都,文京区,東京都文京区小石川５丁目,35.717459681602485,139.7367650270462,0,1
7,本郷児童館,東京都,文京区,東京都文京区本郷５丁目３０−８,35.7116635204056,139.758275337517,1,1
8,オハナ,東京都,文京区,東京都文京区千駄木２丁目３９−１,35.7232080596635,139.762737862766,0,1
9,湯島駅,東京都,文京区,東京都文京区湯島３丁目２５,35.7068200868597,139.769986867905,0,1
10,本郷三丁目駅,東京都,文京区,東京都文京区本郷２丁目３９,35.706722077185,139.759834371507,0,1
11,文京区立真砂中央図書館,東京都,文京区,東京都文京区本郷４丁目８−１５,35.7080868510618,139.756993576884,1,3
12,文京保健所保健サービスセンター本郷支所,東京都,文京区,東京都文京区千駄木５丁目２０−１８,35.726885029351294,139.76038489490747,0,0
13,目白台図書館,東京都,文京区,東京都文京区関口３丁目１７−９,35.7151439354723,139.725515842438,1,1
14,アソボーノ,東京都,文京区,東京都文京区後楽１丁目３−３−６１,35.7037722018334,139.754812270403,2,3
15,文京区役所水道児童館,東京都,文京区,東京都文京区水道１丁目３−２６ 区立水道保育園,35.709578,139.742301,0,0
16,大原地域活動センター,東京都,文京区,東京都文京区千石１丁目４ 千石1-4-3 １丁目-４-３ 千石,35.7245948706673,139.743442051113,1,2
