,Name,Prefecture,Ward,Address,Longtitude,Latitude,Junyu_num,Omutsu_num
0,高井戸保健センター,東京都,杉並区,東京都杉並区高井戸東３丁目２０−３,35.68460420219212,139.62024450302127,0,0
1,浜田山児童館,東京都,杉並区,東京都杉並区浜田山４丁目２１−21番3号 浜田山児童館,35.686503917250555,139.6286726742983,0,0
2,高円寺地域区民センター,東京都,杉並区,東京都杉並区梅里１丁目２２−３２,35.6970381272529,139.653945118189,0,1
3,下高井戸おおぞら公園,東京都,杉並区,東京都杉並区下高井戸２丁目２８−２３,35.6712292112739,139.637126326561,0,1
4,オーク,東京都,杉並区,東京都杉並区荻窪5-29-10-2F,35.7036992362974,139.621519558132,0,1
5,タウンセブン,東京都,杉並区,東京都杉並区上荻１丁目1−9−1,35.7050790359453,139.619580991566,0,2
6,星乃珈琲店荻窪店,東京都,杉並区,東京都杉並区荻窪5-28-13荻窪駅前ビル2F,35.7038320988653,139.620995521545,0,1
7,子ども・子育てプラザ和泉,東京都,杉並区,東京都杉並区和泉２丁目３６−１４,35.6751820254235,139.651148915291,1,1
8,オーケーストア杉並宮前店,東京都,杉並区,東京都杉並区宮前４丁目２６−５,35.691753768942,139.60878610611,0,1
9,立正佼成会附属佼成病院,東京都,杉並区,東京都杉並区和田２丁目２５−１,35.690152898971576,139.65581193566322,1,1
10,不二家レストラン,東京都,杉並区,東京都杉並区永福４丁目１９−１５,35.6802019506486,139.637391194701,0,1
