,Name,Prefecture,Ward,Address,Longtitude,Latitude,Junyu_num,Omutsu_num
0,辰巳駅,東京都,江東区,東京都江東区,35.6457718644388,139.81034707278,0,1
1,PITMANS,東京都,江東区,東京都江東区清澄１丁目１−７ 清澄リバーサイドビル,35.6810938585336,139.791929684579,0,1
2,アーバンドックららぽーと豊洲,東京都,江東区,東京都江東区豊洲２丁目４−９,35.6546382217887,139.792664609849,4,4
3,深川不動堂,東京都,江東区,東京都江東区富岡１丁目１７−１３,35.6728890194082,139.798322059214,0,1
4,江東区立白河こどもとしょかん,東京都,江東区,東京都江東区白河４丁目３−１９,35.6816358068523,139.808101393282,1,1
5,マルエツ清澄白河,東京都,江東区,東京都江東区白河４丁目３,35.6823896263324,139.807571657002,0,1
6,東京イースト21,東京都,江東区,東京都江東区東陽６丁目３−３,35.6744956829841,139.814411625266,1,0
7,イオン南砂町スナモ店,東京都,江東区,東京都江東区新砂3-4-31,35.6656756574253,139.835376441479,2,2
8,東京都水の科学館,東京都,江東区,東京都江東区有明３丁目１−８,35.6308270031301,139.785475954413,1,1
9,江東図書館,東京都,江東区,東京都江東区南砂６丁目７−５２,35.671910134441,139.834079928696,1,2
10,国際展示場駅,東京都,江東区,東京都江東区有明３丁目７,35.63451259191375,139.79163464158773,0,1
11,豊洲シビックセンター,東京都,江東区,東京都江東区豊洲２丁目２−2番１８,35.6542309423394,139.795390069485,3,1
12,越中島駅,東京都,江東区,東京都江東区越中島２丁目１,35.6679778592513,139.792650192976,0,1
