,Name,Prefecture,Ward,Address,Longtitude,Latitude,Junyu_num,Omutsu_num
0,稲城市役所,東京都,稲城市,東京都稲城市東長沼 稲城市役所,35.6379185,139.50465209999993,1,1
1,稲城市立病院,東京都,稲城市,東京都稲城市大丸1171,35.6467600608456,139.4851590693,0,0
2,稲城市保健センター,東京都,稲城市,東京都稲城市百村１１２,35.6382339785186,139.497502930462,0,1
3,稲城市立中央図書館,東京都,稲城市,東京都稲城市向陽台４丁目４−６−１８,35.6457171005087,139.488485343754,0,0
4,いなげや稲城矢野口店,東京都,稲城市,東京都稲城市矢野口２７７−１,35.6415159685367,139.519412890077,0,1
5,矢野口駅,東京都,稲城市,東京都稲城市矢野口 ＪＲ 矢野口駅,35.6416740020143,139.520456939936,0,1
6,ヤオコー稲城南山店,東京都,稲城市,東京都稲城市東長沼 ヤオコー稲城南山店,35.6310854,139.50607079999997,0,0
7,フレスポ若葉台,東京都,稲城市,東京都稲城市若葉台２丁目４−４−２,35.6203382910646,139.470897428691,1,1
8,稲城市立ｉプラザ,東京都,稲城市,東京都稲城市若葉台２丁目５−２ 稲城市役所若葉台出張所,35.6211134023774,139.472189247608,0,1
9,くろがねやスーパーデポ・稲城押立店,東京都,稲城市,東京都稲城市押立１７７７−１ セントラルガーデン,35.6473392957372,139.517135359347,0,1
10,アメリア稲城ショッピングセンター,東京都,稲城市,東京都稲城市矢野口２２８４−１,35.6355952098429,139.5153734833,1,2
11,グルメシティ稲城店,東京都,稲城市,東京都稲城市東長沼５１４−３ 茶月グルメシティ稲城店,35.6449031,139.50234820000003,0,0
