,Name,Prefecture,Ward,Address,Longtitude,Latitude,Junyu_num,Omutsu_num
0,荒川総合スポーツセンター,東京都,荒川区,東京都荒川区南千住６丁目４５−５,35.7357959888586,139.791207164526,1,0
1,ひぐらし保育園,東京都,荒川区,東京都荒川区西日暮里５丁目３５−９,35.7332488968902,139.76737909019,1,1
2,くまのまえ皮膚科,東京都,荒川区,東京都荒川区東尾久５丁目１３−２１,35.7489190657116,139.768533781171,0,1
3,日暮里駅前　公衆トイレ,東京都,荒川区,東京都荒川区西日暮里２丁目１９−１ 京成本線日暮里駅,35.72860522806498,139.77075354950406,0,1
4,尾久ふれあい館,東京都,荒川区,東京都荒川区西尾久２丁目２５−１３,35.7502080170234,139.763396009803,1,1
5,荒川区南千住駅前ふれあい館,東京都,荒川区,東京都荒川区南千住７丁目１−１,35.7330951271107,139.798284843564,1,1
6,ゆいの森あらかわ,東京都,荒川区,東京都荒川区荒川２丁目５０ 番 1 号,35.7392484080787,139.783782474697,2,3
7,荒川区立日暮里図書館,東京都,荒川区,東京都荒川区東日暮里６丁目３８−４,35.7311600519423,139.774920120835,1,0
8,サンパール荒川,東京都,荒川区,東京都荒川区荒川１丁目１−１,35.7350255286677,139.78609085083,2,1
9,プラレールが走るカフェ子鉄,東京都,荒川区,東京都荒川区西尾久７丁目１９−１１,35.7506349418298,139.756580851972,0,1
10,瑞光橋公園,東京都,荒川区,東京都荒川区南千住８丁目１８−２,35.7335904,139.80925419999994,0,0
