,Name,Prefecture,Ward,Address,Longtitude,Latitude,Junyu_num,Omutsu_num
0,トリエ京王調布C館,東京都,調布市,東京都調布市小島町２丁目３０ ２ 丁目 ６１−１０,35.6524873814214,139.541752003133,2,2
1,トリエ京王調布,東京都,調布市,東京都調布市布田４丁目２−９,35.6517861322828,139.544780887663,2,3
2,調布パルコ,東京都,調布市,東京都調布市布田１丁目３７−１,35.6524252663616,139.543708339334,0,2
3,サミット衣料館コルモピア深大寺店,東京都,調布市,東京都調布市深大寺東町２丁目１０−５,35.6676480045457,139.561834037304,0,1
4,ココスクエア調布,東京都,調布市,東京都調布市国領町３丁目１−３８ ココスクエア国領ココスクエア 2F,35.649609060477,139.558644890785,0,1
5,調布市総合体育館,東京都,調布市,東京都調布市深大寺北町２丁目１−６５,35.6724249084997,139.551923945546,0,0
6,水神苑,東京都,調布市,東京都調布市深大寺元町５丁目１０−６,35.6677681252032,139.54826708883,1,1
7,クロスガーデン調布,東京都,調布市,東京都調布市菊野台１丁目３４−５,35.65695136620904,139.56813354045153,1,2
8,ホームセンターくろがねや調布店,東京都,調布市,東京都調布市多摩川１丁目１−９−２,35.6493189068943,139.527622126043,0,1
9,京王閣競輪場,東京都,調布市,東京都調布市多摩川４丁目３１−１,35.6429506,139.5337379,0,0
